[2023-05-04 15:01:23,244][rospy.internal][INFO] - topic[/rosout] adding connection to [/rosout], count 0
[2023-05-04 15:01:26,255][rosout][INFO] - img_sub has been created
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/image] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/camera_info] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:30,271][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,321][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,371][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,421][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,471][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,522][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,571][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,620][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,670][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,721][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,771][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,821][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,871][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,921][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:30,971][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,021][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,072][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,121][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,172][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,190][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,240][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,277][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,327][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,377][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,427][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,477][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,527][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,578][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,638][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,677][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,727][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,777][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,828][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,877][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,928][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:31,978][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,027][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,077][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,127][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,177][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,227][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,277][rosout][INFO] - (1464, 1936, 3)
